MC,PC,Total_Term_Frequency,N_Cases,TFIDF
Innovating,Aircraft_and_Component_Manufacturing,4609,435,5.9397880870620865
Innovating,Infrastructure_Readiness,1677,285,5.7868702406174695
Innovating,Safety_and_Reliability,1257,251,5.561316637487897
Innovating,Sustainable_Aviation_Fuels_and_Propulsion,43830,597,17.915930411638115
Operationalizing,Airline_Operations_and_Fleet_Management,1286,253,5.604301929286309
Operationalizing,Business_Model_Evolution,851,170,7.509564993879784
Operationalizing,Economic_Viability,1634,295,5.256335388924456
Operationalizing,Fuel_Efficiency_and_Optimization,5062,441,6.277587994045054
Prognosticating,Equity_and_Inclusivity,1695,268,6.608979402697625
Prognosticating,Global_Coordination_of_Standards_and_Practices,1895,299,5.929023917895799
Prognosticating,Incentives_and_Penalties,1519,237,7.485314192842833
Prognosticating,Policies_Regulations_and_Standards,2669,357,5.668528166828578
Synchronizing,Consumer_Trust_and_Engagement,1417,249,6.365082390030068
Synchronizing,Cost_Implications_and_Market_Demand,1336,280,4.776948887725864
Synchronizing,Investment_Funding_for_Innovation,756,175,6.355413713216731
Synchronizing,Safety_and_Reliability_Perception,485,110,8.53364638271547
