Category1,Category2,Jaccard
Innovating.Aircraft_and_Component_Manufacturing,Innovating.Infrastructure_Readiness,0.37404580152671757
Innovating.Aircraft_and_Component_Manufacturing,Innovating.Safety_and_Reliability,0.3665338645418327
Innovating.Aircraft_and_Component_Manufacturing,Innovating.Sustainable_Aviation_Fuels_and_Propulsion,0.5518796992481203
Innovating.Aircraft_and_Component_Manufacturing,Operationalizing.Airline_Operations_and_Fleet_Management,0.34375
Innovating.Aircraft_and_Component_Manufacturing,Operationalizing.Business_Model_Evolution,0.21730382293762576
Innovating.Aircraft_and_Component_Manufacturing,Operationalizing.Economic_Viability,0.37735849056603776
Innovating.Aircraft_and_Component_Manufacturing,Operationalizing.Fuel_Efficiency_and_Optimization,0.5477031802120141
Innovating.Aircraft_and_Component_Manufacturing,Prognosticating.Equity_and_Inclusivity,0.3042671614100185
Innovating.Aircraft_and_Component_Manufacturing,Prognosticating.Global_Coordination_of_Standards_and_Practices,0.3592592592592593
Innovating.Aircraft_and_Component_Manufacturing,Prognosticating.Incentives_and_Penalties,0.2947976878612717
Innovating.Aircraft_and_Component_Manufacturing,Prognosticating.Policies_Regulations_and_Standards,0.3968253968253968
Innovating.Aircraft_and_Component_Manufacturing,Synchronizing.Consumer_Trust_and_Engagement,0.3028571428571429
Innovating.Aircraft_and_Component_Manufacturing,Synchronizing.Cost_Implications_and_Market_Demand,0.3516068052930057
Innovating.Aircraft_and_Component_Manufacturing,Synchronizing.Investment_Funding_for_Innovation,0.22244488977955912
Innovating.Aircraft_and_Component_Manufacturing,Synchronizing.Safety_and_Reliability_Perception,0.1595744680851064
Innovating.Infrastructure_Readiness,Innovating.Aircraft_and_Component_Manufacturing,0.37404580152671757
Innovating.Infrastructure_Readiness,Innovating.Safety_and_Reliability,0.29156626506024097
Innovating.Infrastructure_Readiness,Innovating.Sustainable_Aviation_Fuels_and_Propulsion,0.39556962025316456
Innovating.Infrastructure_Readiness,Operationalizing.Airline_Operations_and_Fleet_Management,0.2840095465393795
Innovating.Infrastructure_Readiness,Operationalizing.Business_Model_Evolution,0.24316939890710382
Innovating.Infrastructure_Readiness,Operationalizing.Economic_Viability,0.32723112128146453
Innovating.Infrastructure_Readiness,Operationalizing.Fuel_Efficiency_and_Optimization,0.3776091081593928
Innovating.Infrastructure_Readiness,Prognosticating.Equity_and_Inclusivity,0.289044289044289
Innovating.Infrastructure_Readiness,Prognosticating.Global_Coordination_of_Standards_and_Practices,0.33638443935926776
Innovating.Infrastructure_Readiness,Prognosticating.Incentives_and_Penalties,0.2857142857142857
Innovating.Infrastructure_Readiness,Prognosticating.Policies_Regulations_and_Standards,0.3659574468085106
Innovating.Infrastructure_Readiness,Synchronizing.Consumer_Trust_and_Engagement,0.26540284360189575
Innovating.Infrastructure_Readiness,Synchronizing.Cost_Implications_and_Market_Demand,0.3109048723897912
Innovating.Infrastructure_Readiness,Synchronizing.Investment_Funding_for_Innovation,0.26373626373626374
Innovating.Infrastructure_Readiness,Synchronizing.Safety_and_Reliability_Perception,0.16519174041297935
Innovating.Safety_and_Reliability,Innovating.Aircraft_and_Component_Manufacturing,0.3665338645418327
Innovating.Safety_and_Reliability,Innovating.Infrastructure_Readiness,0.29156626506024097
Innovating.Safety_and_Reliability,Innovating.Sustainable_Aviation_Fuels_and_Propulsion,0.30864197530864196
