Category1,Category2,Jaccard
Advanced_Air_Mobility,Aircraft_Efficiency_and_Fleet_Optimization,0.6464174454828661
Advanced_Air_Mobility,Electrification_of_Aviation,0.6821282401091405
Advanced_Air_Mobility,Hydrogen_Powered_Aviation,0.6161616161616161
Advanced_Air_Mobility,Innovating,0.6528803545051699
Advanced_Air_Mobility,Operationalizing,0.661608497723824
Advanced_Air_Mobility,Prognosticating,0.6056971514242878
Advanced_Air_Mobility,Sustainable_Aviation_Fuels,0.6440677966101694
Advanced_Air_Mobility,Synchronizing,0.579454253611557
Aircraft_Efficiency_and_Fleet_Optimization,Advanced_Air_Mobility,0.6464174454828661
Aircraft_Efficiency_and_Fleet_Optimization,Electrification_of_Aviation,0.6305555555555555
Aircraft_Efficiency_and_Fleet_Optimization,Hydrogen_Powered_Aviation,0.6298003072196621
Aircraft_Efficiency_and_Fleet_Optimization,Innovating,0.6232771822358346
Aircraft_Efficiency_and_Fleet_Optimization,Operationalizing,0.6523125996810207
Aircraft_Efficiency_and_Fleet_Optimization,Prognosticating,0.5379939209726444
Aircraft_Efficiency_and_Fleet_Optimization,Sustainable_Aviation_Fuels,0.5563380281690141
Aircraft_Efficiency_and_Fleet_Optimization,Synchronizing,0.4967637540453074
Electrification_of_Aviation,Advanced_Air_Mobility,0.6821282401091405
Electrification_of_Aviation,Aircraft_Efficiency_and_Fleet_Optimization,0.6305555555555555
Electrification_of_Aviation,Hydrogen_Powered_Aviation,0.7324929971988795
Electrification_of_Aviation,Innovating,0.7359550561797753
Electrification_of_Aviation,Operationalizing,0.7046413502109705
Electrification_of_Aviation,Prognosticating,0.6408839779005525
Electrification_of_Aviation,Sustainable_Aviation_Fuels,0.757201646090535
Electrification_of_Aviation,Synchronizing,0.5312934631432545
Hydrogen_Powered_Aviation,Advanced_Air_Mobility,0.6161616161616161
Hydrogen_Powered_Aviation,Aircraft_Efficiency_and_Fleet_Optimization,0.6298003072196621
Hydrogen_Powered_Aviation,Electrification_of_Aviation,0.7324929971988795
Hydrogen_Powered_Aviation,Innovating,0.7015151515151515
Hydrogen_Powered_Aviation,Operationalizing,0.6476761619190404
Hydrogen_Powered_Aviation,Prognosticating,0.5762463343108505
Hydrogen_Powered_Aviation,Sustainable_Aviation_Fuels,0.666191155492154
Hydrogen_Powered_Aviation,Synchronizing,0.49696969696969695
Innovating,Advanced_Air_Mobility,0.6528803545051699
Innovating,Aircraft_Efficiency_and_Fleet_Optimization,0.6232771822358346
Innovating,Electrification_of_Aviation,0.7359550561797753
Innovating,Hydrogen_Powered_Aviation,0.7015151515151515
Innovating,Operationalizing,0.668693009118541
Innovating,Prognosticating,0.5794117647058824
Innovating,Sustainable_Aviation_Fuels,0.6506364922206507
Innovating,Synchronizing,0.5068702290076336
Operationalizing,Advanced_Air_Mobility,0.661608497723824
Operationalizing,Aircraft_Efficiency_and_Fleet_Optimization,0.6523125996810207
Operationalizing,Electrification_of_Aviation,0.7046413502109705
Operationalizing,Hydrogen_Powered_Aviation,0.6476761619190404
Operationalizing,Innovating,0.668693009118541
Operationalizing,Prognosticating,0.6178736517719569
Operationalizing,Sustainable_Aviation_Fuels,0.6613372093023255
Operationalizing,Synchronizing,0.586490939044481
Prognosticating,Advanced_Air_Mobility,0.6056971514242878
Prognosticating,Aircraft_Efficiency_and_Fleet_Optimization,0.5379939209726444
Prognosticating,Electrification_of_Aviation,0.6408839779005525
Prognosticating,Hydrogen_Powered_Aviation,0.5762463343108505
Prognosticating,Innovating,0.5794117647058824
Prognosticating,Operationalizing,0.6178736517719569
Prognosticating,Sustainable_Aviation_Fuels,0.672645739910314
Prognosticating,Synchronizing,0.5888324873096447
Sustainable_Aviation_Fuels,Advanced_Air_Mobility,0.6440677966101694
Sustainable_Aviation_Fuels,Aircraft_Efficiency_and_Fleet_Optimization,0.5563380281690141
Sustainable_Aviation_Fuels,Electrification_of_Aviation,0.757201646090535
Sustainable_Aviation_Fuels,Hydrogen_Powered_Aviation,0.666191155492154
Sustainable_Aviation_Fuels,Innovating,0.6506364922206507
Sustainable_Aviation_Fuels,Operationalizing,0.6613372093023255
Sustainable_Aviation_Fuels,Prognosticating,0.672645739910314
Sustainable_Aviation_Fuels,Synchronizing,0.5589123867069486
Synchronizing,Advanced_Air_Mobility,0.579454253611557
Synchronizing,Aircraft_Efficiency_and_Fleet_Optimization,0.4967637540453074
Synchronizing,Electrification_of_Aviation,0.5312934631432545
Synchronizing,Hydrogen_Powered_Aviation,0.49696969696969695
Synchronizing,Innovating,0.5068702290076336
Synchronizing,Operationalizing,0.586490939044481
Synchronizing,Prognosticating,0.5888324873096447
Synchronizing,Sustainable_Aviation_Fuels,0.5589123867069486
