MC,PC,Total_Term_Frequency,N_Cases,TFIDF
Advanced_Air_Mobility,Advanced_Air_Mobility,14624,558,8.609396909317303
Aircraft_Efficiency_and_Fleet_Optimization,Aircraft_Efficiency_and_Fleet_Optimization,9232,499,8.14519441084585
Electrification_of_Aviation,Electrification_of_Aviation,27678,675,5.664777879217864
Hydrogen_Powered_Aviation,Hydrogen_Powered_Aviation,13478,562,7.7069501365787225
Innovating,Aircraft_and_Component_Manufacturing,2795,374,5.445072762751305
Innovating,Infrastructure_Readiness,979,231,5.129982541714679
Innovating,Safety_and_Reliability,733,185,5.675825841803196
Innovating,Sustainable_Aviation_Fuels_and_Propulsion,3966,315,11.335084726453694
Operationalizing,Airline_Operations_and_Fleet_Management,456,127,6.494143542992193
Operationalizing,Business_Model_Evolution,851,170,7.594246870881915
Operationalizing,Economic_Viability,1559,292,5.21148727748499
Operationalizing,Fuel_Efficiency_and_Optimization,2434,344,5.746938428486032
Prognosticating,Equity_and_Inclusivity,1695,268,6.715969786522467
Prognosticating,Global_Coordination_of_Standards_and_Practices,1895,299,6.036237020231578
Prognosticating,Incentives_and_Penalties,934,197,6.493714653678908
Prognosticating,Policies_Regulations_and_Standards,2486,340,6.024290251745429
Sustainable_Aviation_Fuels,Sustainable_Aviation_Fuels,67861,606,27.545635809072177
Synchronizing,Consumer_Trust_and_Engagement,1417,249,6.461350033346193
Synchronizing,Cost_Implications_and_Market_Demand,1195,259,5.056995314078386
Synchronizing,Investment_Funding_for_Innovation,756,175,6.428492879456879
Synchronizing,Safety_and_Reliability_Perception,382,91,8.991707095863099
